Name,Latitude,Longitude
"Grady Avenue, Charlottesville, VA, USA",38.038237,-78.490864
"Charlottesville, VA, USA",38.036141,-78.482369
"Fontaine Avenue, Charlottesville, VA, USA",38.025922,-78.516934
"Prospect Avenue, Charlottesville, VA, USA",38.022488,-78.496007
"West Main Street, Charlottesville, VA, USA",38.030494,-78.485833
"5th Street Southwest, Charlottesville, VA, USA",38.025325,-78.489667
"Elliott Avenue, Charlottesville, VA, USA",38.021253,-78.481403
"Emmet Street North, Charlottesville, VA, USA",38.052669,-78.499068
"Meridian Street, Charlottesville, VA, USA",38.019979,-78.478085
"Charlottesville, VA, USA",38.036141,-78.482369
"Meade Avenue, Charlottesville, VA, USA",38.025179,-78.467654
"3rd Street Northeast, Charlottesville, VA, USA",38.032172,-78.479127
"Lewis Street, Charlottesville, VA, USA",38.026139,-78.51647
"11th Street Northwest, Charlottesville, VA, USA",38.037935,-78.494056
"Charlottesville, VA, USA",38.036141,-78.482369
"12 1/2 Street Northwest, Charlottesville, VA, USA",38.033776,-78.497338
"Pine Street, Charlottesville, VA, USA",38.026924,-78.494566
"14th Street Northwest, Charlottesville, VA, USA",38.038177,-78.497431
"Charlottesville, VA, USA",38.036141,-78.482369
"Wertland Street, Charlottesville, VA, USA",38.034447,-78.497013
"Lee Street, Charlottesville, VA, USA",38.031972,-78.498789
"Hardy Drive, Charlottesville, VA, USA",38.033684,-78.491986
"Charlottesville, VA, USA",38.036141,-78.482369
"Nalle Street, Charlottesville, VA, USA",38.029882,-78.493217
"Preston Avenue, Charlottesville, VA, USA",38.037756,-78.489639
"4th Street Northwest, Charlottesville, VA, USA",38.032621,-78.485797
"St Annes Road, Charlottesville, VA, USA",38.057767,-78.482508
"Montebello Circle, Charlottesville, VA, USA",38.029863,-78.509937
"Ridge Street, Charlottesville, VA, USA",38.030426,-78.485196
"Charlottesville, VA, USA",38.036141,-78.482369
"15th Street Northwest, Charlottesville, VA, USA",38.038049,-78.498575
"East Main Street, Charlottesville, VA, USA",38.030107,-78.479354
"6th Street Southeast, Charlottesville, VA, USA",38.022429,-78.482625
"Sunrise Park Lane, Charlottesville, VA, USA",38.020769,-78.467025
"Arlington Boulevard, Charlottesville, VA, USA",38.049779,-78.50676
"Virginia, USA",37.73086,-78.376655
"Charlottesville, VA, USA",38.036141,-78.482369
"Monticello Road, Charlottesville, VA, USA",38.021867,-78.472942
"Charlottesville, VA, USA",38.036141,-78.482369
"Gordon Avenue, Charlottesville, VA, USA",38.039474,-78.497474
"Stonehenge Avenue, Charlottesville, VA, USA",38.020033,-78.485215
"Druid Avenue, Charlottesville, VA, USA",38.019594,-78.482233
"Garrett Street, Charlottesville, VA, USA",38.029269,-78.484716
"Stadium Road, Charlottesville, VA, USA",38.029095,-78.51372
"India Road, Charlottesville, VA, USA",38.06231,-78.489476
"Cherry Avenue, Charlottesville, VA, USA",38.019774,-78.510666
"Cedars Court, Charlottesville, VA, USA",38.056001,-78.501037
"Nassau Street, Charlottesville, VA, USA",38.018075,-78.467818
"Hydraulic Road, Charlottesville, VA, USA",38.058587,-78.488767
"Carlton Avenue, Charlottesville, VA, USA",38.02102,-78.466427
"Lewis Mountain Road, Charlottesville, VA, USA",38.03835,-78.511301
"King Mountain Road, Charlottesville, VA, USA",38.06079,-78.480125
"2nd Street Southwest, Charlottesville, VA, USA",38.030319,-78.482598
"Altavista Avenue, Charlottesville, VA, USA",38.018889,-78.478468
"Barracks Road, Charlottesville, VA, USA",38.055867,-78.502356
"Peartree Lane, Charlottesville, VA, USA",38.042795,-78.458995
"Ridge McIntire Road, Charlottesville, VA, USA",38.030795,-78.48521
"Michie Drive, Charlottesville, VA, USA",38.059777,-78.486828
"Charlottesville, VA, USA",38.036141,-78.482369
"Harris Street, Charlottesville, VA, USA",38.038742,-78.481705
"Raymond Avenue, Charlottesville, VA, USA",38.023467,-78.513437
"Brandywine Drive, Charlottesville, VA, USA",38.066646,-78.473947
"Jefferson Park Avenue, Charlottesville, VA, USA",38.031941,-78.507508
"Charlottesville, VA, USA",38.036141,-78.482369
"Rock Creek Road, Charlottesville, VA, USA",38.023192,-78.501089
"Cedar Hill Road, Charlottesville, VA, USA",38.061983,-78.497214
"9th Street Southwest, Charlottesville, VA, USA",38.027821,-78.495303
"Charlottesville, VA, USA",38.036141,-78.482369
"Lyons Avenue, Charlottesville, VA, USA",38.03872,-78.471177
"Park Street, Charlottesville, VA, USA",38.03532,-78.475564
"Trailridge Road, Charlottesville, VA, USA",38.021654,-78.503018
"Charlottesville, VA, USA",38.036141,-78.482369
"Oakhurst Circle, Charlottesville, VA, USA",38.031222,-78.506655
"1st Street North, Charlottesville, VA, USA",38.033218,-78.480413
"Park Plaza, Charlottesville, VA, USA",38.03491,-78.478031
"Kenwood Lane, Charlottesville, VA, USA",38.055706,-78.474394
"Bolling Avenue, Charlottesville, VA, USA",38.022645,-78.477692
"Ivy Road, Charlottesville, VA, USA",38.042793,-78.513601
"10th Street Northwest, Charlottesville, VA, USA",38.038796,-78.49146
"Long Street, Charlottesville, VA, USA",38.035805,-78.461506
"Allied Street, Charlottesville, VA, USA",38.041,-78.477845
"Dellmead Lane, Charlottesville, VA, USA",38.060563,-78.499597
"Charlottesville, VA, USA",38.036141,-78.482369
"Albemarle Street, Charlottesville, VA, USA",38.034404,-78.488149
"Charlottesville, VA, USA",38.036141,-78.482369
"Lankford Avenue, Charlottesville, VA, USA",38.022367,-78.488728
"Charlottesville, VA, USA",38.036141,-78.482369
"Millmont Street, Charlottesville, VA, USA",38.052,-78.503211
"Paton Street, Charlottesville, VA, USA",38.027099,-78.502159
"Walker Square, Charlottesville, VA, USA",38.030567,-78.491469
"11th Street Northeast, Charlottesville, VA, USA",38.030016,-78.471221
"Rose Hill Drive, Charlottesville, VA, USA",38.044146,-78.483922
"Grove Road, Charlottesville, VA, USA",38.054436,-78.472224
"Locust Avenue, Charlottesville, VA, USA",38.044701,-78.457663
"Birdwood Road, Charlottesville, VA, USA",38.043766,-78.478367
"Monticello Avenue, Charlottesville, VA, USA",38.021241,-78.474129
"Poplar Street, Charlottesville, VA, USA",38.033808,-78.469021
"University Circle, Charlottesville, VA, USA",38.04381,-78.503076
"Arbor Circle, Charlottesville, VA, USA",38.028986,-78.463031
"Olinda Drive, Charlottesville, VA, USA",38.023859,-78.499617
"Hazel Street, Charlottesville, VA, USA",38.034892,-78.467938
"Moseley Drive, Charlottesville, VA, USA",38.015709,-78.506443
"Barracks, Charlottesville, VA, USA",38.048329,-78.487418
"Robertson Avenue, Charlottesville, VA, USA",38.024429,-78.51273
"Marshall Street, Charlottesville, VA, USA",38.040746,-78.46754
"Carlton Road, Charlottesville, VA, USA",38.025491,-78.468313
"Holly Road, Charlottesville, VA, USA",38.057582,-78.473896
"Raymond Road, Charlottesville, VA, USA",38.01771,-78.492936
"Swanson Drive, Charlottesville, VA, USA",38.062751,-78.49346
"Cleveland Avenue, Charlottesville, VA, USA",38.019327,-78.509352
"Baylor Lane, Charlottesville, VA, USA",38.018821,-78.490898
"Henry Avenue, Charlottesville, VA, USA",38.038907,-78.486406
"Forest Ridge Road, Charlottesville, VA, USA",38.023808,-78.498672
"Field Road, Charlottesville, VA, USA",38.047761,-78.499772
"Shelby Drive, Charlottesville, VA, USA",38.062967,-78.495214
"Charlottesville, VA, USA",38.036141,-78.482369
"Center Avenue, Charlottesville, VA, USA",38.024538,-78.508378
"Delevan Street, Charlottesville, VA, USA",38.030088,-78.489796
"Chancellor Street, Charlottesville, VA, USA",38.037857,-78.500624
"Fairway Avenue, Charlottesville, VA, USA",38.027928,-78.462704
"Virginia Avenue, Charlottesville, VA, USA",38.03838,-78.499337
"Charlottesville, VA, USA",38.036141,-78.482369
"Altamont Circle, Charlottesville, VA, USA",38.034024,-78.481119
"Montrose Avenue, Charlottesville, VA, USA",38.020598,-78.477693
"Stribling Avenue, Charlottesville, VA, USA",38.022705,-78.519172
"Forest Hills Avenue, Charlottesville, VA, USA",38.025358,-78.498306
"Cabell Avenue, Charlottesville, VA, USA",38.043737,-78.492201
"Winston Road, Charlottesville, VA, USA",38.045856,-78.4992
"7 1/2 Street Southwest, Charlottesville, VA, USA",38.027464,-78.493161
"Charlottesville, VA, USA",38.036141,-78.482369
"Allied Lane, Charlottesville, VA, USA",38.041241,-78.477789
"Charlottesville, VA, USA",38.036141,-78.482369
"710 Belmont Cottage Ln, Charlottesville, VA, USA",38.016265,-78.48441
"4th Street Southeast, Charlottesville, VA, USA",38.029019,-78.479775
"Danbury Court, Charlottesville, VA, USA",38.018331,-78.471238
"Madison Lane, Charlottesville, VA, USA",38.037591,-78.501708
"Brandywine Court, Charlottesville, VA, USA",38.057297,-78.486836
"Nunley Street, Charlottesville, VA, USA",38.027248,-78.501695
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Longwood Drive, Charlottesville, VA, USA",38.013949,-78.505853
"Morton Drive, Charlottesville, VA, USA",38.055602,-78.495421
"Angus Road, Charlottesville, VA, USA",38.058674,-78.49427
"Greenbrier Drive, Charlottesville, VA, USA",38.062935,-78.47183
"Oxford Road, Charlottesville, VA, USA",38.047367,-78.48631
"Highland Avenue, Charlottesville, VA, USA",38.022762,-78.511092
"Del Mar Drive, Charlottesville, VA, USA",38.05079,-78.484164
"Dairy Road, Charlottesville, VA, USA",38.053041,-78.486269
"Charlottesville, VA, USA",38.036141,-78.482369
"King Street, Charlottesville, VA, USA",38.029471,-78.496154
"Mobile Lane, Charlottesville, VA, USA",38.012066,-78.516366
"Dunova Court, Charlottesville, VA, USA",38.029574,-78.512022
"Baker Street, Charlottesville, VA, USA",38.025919,-78.502376
"Maury Avenue, Charlottesville, VA, USA",38.027154,-78.516157
"Madison Avenue, Charlottesville, VA, USA",38.041847,-78.493852
"Hartmans Mill Road, Charlottesville, VA, USA",38.020504,-78.488997
"Charlottesville, VA, USA",38.036141,-78.482369
"Summit Street, Charlottesville, VA, USA",38.024975,-78.520477
"Charlottesville, VA, USA",38.036141,-78.482369
"2nd Street Northeast, Charlottesville, VA, USA",38.037385,-78.476887
"Charlottesville, VA, USA",38.036141,-78.482369
"River Road, Charlottesville, VA, USA",38.039587,-78.456129
"Monroe Lane, Charlottesville, VA, USA",38.031093,-78.503018
"Monte Vista Avenue, Charlottesville, VA, USA",38.014504,-78.514508
"1st Street South, Charlottesville, VA, USA",38.025333,-78.484609
"Rives Street, Charlottesville, VA, USA",38.017918,-78.469699
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Melbourne Park Circle, Charlottesville, VA, USA",38.047111,-78.470873
"Concord Avenue, Charlottesville, VA, USA",38.038694,-78.484286
"Dice Street, Charlottesville, VA, USA",38.028169,-78.486457
"Anderson Street, Charlottesville, VA, USA",38.034613,-78.488992
"Charlottesville, VA, USA",38.036141,-78.482369
"Harris Road, Charlottesville, VA, USA",38.016125,-78.507108
"Piedmont Avenue North, Charlottesville, VA, USA",38.027207,-78.518821
"Seminole Court, Charlottesville, VA, USA",38.064983,-78.486649
"Chesapeake Street, Charlottesville, VA, USA",38.02516,-78.461165
"Rockland Avenue, Charlottesville, VA, USA",38.017099,-78.4813
"Melbourne Road, Charlottesville, VA, USA",38.054951,-78.472788
"University Way, Charlottesville, VA, USA",38.040979,-78.502156
"Holiday Drive, Charlottesville, VA, USA",38.0583,-78.492835
"Coleman Street, Charlottesville, VA, USA",38.038122,-78.459202
"Concord Drive, Charlottesville, VA, USA",38.056419,-78.476629
"Stewart Street, Charlottesville, VA, USA",38.029305,-78.509718
"Estes Street, Charlottesville, VA, USA",38.030902,-78.493554
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Burnet Street, Charlottesville, VA, USA",38.024072,-78.487765
"2nd Street Southeast, Charlottesville, VA, USA",38.027283,-78.482369
"Short 18th Street, Charlottesville, VA, USA",38.025687,-78.459889
"Avon Street, Charlottesville, VA, USA",38.028133,-78.477292
"Emmet Street South, Charlottesville, VA, USA",38.039112,-78.506936
"Holmes Avenue, Charlottesville, VA, USA",38.045832,-78.461318
"John Street, Charlottesville, VA, USA",38.036736,-78.496443
"Hydraulic Road, Charlottesville, VA, USA",38.058587,-78.488767
"Bainbridge Street, Charlottesville, VA, USA",38.023288,-78.472469
"Hessian Road, Charlottesville, VA, USA",38.051365,-78.496438
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Sunset Road, Charlottesville, VA, USA",38.02141,-78.518074
"Valley View Circle, Charlottesville, VA, USA",38.034458,-78.465383
"Price Avenue, Charlottesville, VA, USA",38.027231,-78.517574
"Vine Street, Charlottesville, VA, USA",38.0194,-78.467335
"Burnley Avenue, Charlottesville, VA, USA",38.042878,-78.497381
"4th and Gill, Knoxville, TN, USA",35.975015,-83.924617
"River Court, Charlottesville, VA, USA",38.042849,-78.456155
"Charlottesville, VA, USA",38.036141,-78.482369
"Oakleaf Lane, Charlottesville, VA, USA",38.051464,-78.483979
"Charlottesville, VA, USA",38.036141,-78.482369
"2nd Street Northwest, Charlottesville, VA, USA",38.032135,-78.48171
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Shamrock Road, Charlottesville, VA, USA",38.026172,-78.508459
"Briarcliff Avenue, Charlottesville, VA, USA",38.024241,-78.500149
"Stewart Circle, Charlottesville, VA, USA",38.04352,-78.494709
"Charlottesville, VA, USA",38.036141,-78.482369
"Hartford Court, Charlottesville, VA, USA",38.01832,-78.47205
"North Berkshire Road, Charlottesville, VA, USA",38.062889,-78.497097
"Charlottesville, VA, USA",38.036141,-78.482369
"Elizabeth Avenue, Charlottesville, VA, USA",38.046696,-78.462761
"Riverside Avenue, Charlottesville, VA, USA",38.025369,-78.454608
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlton Avenue, Charlottesville, VA, USA",38.038571,-78.487683
"Cherry Street, Charlottesville, VA, USA",38.02488,-78.470795
"Bailey Road, Charlottesville, VA, USA",38.021032,-78.49615
"Rugby Road, Charlottesville, VA, USA",38.047603,-78.49302
"Greenwich Court, Charlottesville, VA, USA",38.019115,-78.470517
"Camellia Drive, Charlottesville, VA, USA",38.011796,-78.510816
"Brunswick Road, Charlottesville, VA, USA",38.019709,-78.516161
"Mason Lane, Charlottesville, VA, USA",38.047334,-78.490647
"Minor Road, Charlottesville, VA, USA",38.039824,-78.513564
"Charlottesville, VA, USA",38.036141,-78.482369
"8th Street Northwest, Charlottesville, VA, USA",38.032586,-78.490265
"Early Street, Charlottesville, VA, USA",38.018834,-78.483967
"Rougemont Avenue, Charlottesville, VA, USA",38.017816,-78.487316
"Westwood Road, Charlottesville, VA, USA",38.044387,-78.484596
"10 1/2 Street Northwest, Charlottesville, VA, USA",38.037723,-78.493185
"Elsom Street, Charlottesville, VA, USA",38.032243,-78.490005
"Watson Avenue, Charlottesville, VA, USA",38.038716,-78.466227
"Valley Road, Charlottesville, VA, USA",38.026153,-78.50401
"Rutledge Avenue, Charlottesville, VA, USA",38.046204,-78.483553
"Charlottesville, VA, USA",38.036141,-78.482369
"Preston Place, Charlottesville, VA, USA",38.042259,-78.497598
"7th Street Northeast, Charlottesville, VA, USA",38.031574,-78.475957
"Harmon Street, Charlottesville, VA, USA",38.028008,-78.512915
"Meriwether Street, Charlottesville, VA, USA",38.030565,-78.46761
"Westview Road, Charlottesville, VA, USA",38.048047,-78.498572
"Wayside Place, Charlottesville, VA, USA",38.043906,-78.501532
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Northwood Avenue, Charlottesville, VA, USA",38.03672,-78.477038
"Hampton Street, Charlottesville, VA, USA",38.019461,-78.469468
"Graves Street, Charlottesville, VA, USA",38.027156,-78.476105
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Grove Avenue, Charlottesville, VA, USA",38.033281,-78.468782
"Burgess Lane, Charlottesville, VA, USA",38.024169,-78.464935
"St Charles Avenue, Charlottesville, VA, USA",38.034364,-78.470694
"Charlottesville, VA, USA",38.036141,-78.482369
"Amherst Street, Charlottesville, VA, USA",38.042648,-78.487127
"Charlottesville, VA, USA",38.036141,-78.482369
"12th Street Northwest, Charlottesville, VA, USA",38.033693,-78.496513
"Rugby Avenue, Charlottesville, VA, USA",38.04513,-78.481961
"Rialto Street, Charlottesville, VA, USA",38.017236,-78.482242
"Castalia Street, Charlottesville, VA, USA",38.021264,-78.475012
"Charlottesville, VA, USA",38.036141,-78.482369
"Myrtle Street, Charlottesville, VA, USA",38.024015,-78.471326
"Greenwich Court, Charlottesville, VA, USA",38.019115,-78.470517
"Forest Street, Charlottesville, VA, USA",38.040375,-78.484056
"Charlottesville, VA, USA",38.036141,-78.482369
"9th Street Northwest, Charlottesville, VA, USA",38.035897,-78.490436
"Charlottesville, VA, USA",38.036141,-78.482369
"West Street, Charlottesville, VA, USA",38.036774,-78.490522
"Rugby Road, Charlottesville, VA, USA",38.039917,-78.500888
"Orangedale Avenue, Charlottesville, VA, USA",38.022442,-78.497147
"Charlottesville, VA, USA",38.036141,-78.482369
"Glendale Road, Charlottesville, VA, USA",38.04395,-78.465515
"Beechwood Drive, Charlottesville, VA, USA",38.045518,-78.466953
"Plateau Road, Charlottesville, VA, USA",38.0252,-78.521435
"Locust Lane, Charlottesville, VA, USA",38.045325,-78.457793
"Gentry Lane, Charlottesville, VA, USA",38.052139,-78.485069
"Charlottesville, VA, USA",38.036141,-78.482369
"6th Street Southwest, Charlottesville, VA, USA",38.02828,-78.490304
"Charlottesville, VA, USA",38.036141,-78.482369
"Cutler Lane, Charlottesville, VA, USA",38.045227,-78.469614
"Old Lynchburg Road, Charlottesville, VA, USA",38.016733,-78.514517
"Tarleton Drive, Charlottesville, VA, USA",38.062929,-78.467875
"Willard Drive, Charlottesville, VA, USA",38.017602,-78.509578
"Charlottesville, VA, USA",38.02931,-78.47668
"Charlottesville, VA, USA",38.036141,-78.482369
"7th Street Southwest, Charlottesville, VA, USA",38.030483,-78.49008
"Wellford Street, Charlottesville, VA, USA",38.048212,-78.486744
"5th Street Southeast, Charlottesville, VA, USA",38.029472,-78.478699
"Penick Court, Charlottesville, VA, USA",38.02449,-78.488977
"Antoinette Avenue, Charlottesville, VA, USA",38.019887,-78.500116
"Sheridan Avenue, Charlottesville, VA, USA",38.042861,-78.464069
"Lexington Avenue, Charlottesville, VA, USA",38.034362,-78.471865
"Agnese Street, Charlottesville, VA, USA",38.048237,-78.462535
"Charlottesville, VA, USA",38.036141,-78.482369
"Village Road, Charlottesville, VA, USA",38.019755,-78.502491
"Maywood Lane, Charlottesville, VA, USA",38.028578,-78.508112
"St George Avenue, Charlottesville, VA, USA",38.038979,-78.460158
"Altamont Street, Charlottesville, VA, USA",38.034505,-78.481898
"Zan Road, Charlottesville, VA, USA",38.063599,-78.487737
"Quarry Road, Charlottesville, VA, USA",38.015276,-78.476189
"Smith Street, Charlottesville, VA, USA",38.041681,-78.459229
"McIntire Road, Charlottesville, VA, USA",38.033695,-78.483418
"3rd Street Southeast, Charlottesville, VA, USA",38.029941,-78.480177
"Charlottesville, VA, USA",38.036141,-78.482369
"Page Street, Charlottesville, VA, USA",38.033892,-78.489662
"Charlottesville, VA, USA",38.036141,-78.482369
"North Avenue, Charlottesville, VA, USA",38.043051,-78.467375
"Naylor Street, Charlottesville, VA, USA",38.016389,-78.50486
"Hinton Avenue, Charlottesville, VA, USA",38.025622,-78.477478
"Roades Court, Charlottesville, VA, USA",38.023742,-78.488866
"Charlottesville, VA, USA",38.036141,-78.482369
"Broad Avenue, Charlottesville, VA, USA",38.025404,-78.505308
"Belmont Avenue, Charlottesville, VA, USA",38.023833,-78.475785
"Morgan Court, Charlottesville, VA, USA",38.021271,-78.520302
"Huntley Avenue, Charlottesville, VA, USA",38.019771,-78.519909
"Cottage Lane, Charlottesville, VA, USA",38.04581,-78.497352
"Woodland Drive, Charlottesville, VA, USA",38.018881,-78.511708
"Grove Street, Charlottesville, VA, USA",38.029342,-78.499219
"Linden Avenue, Charlottesville, VA, USA",38.014926,-78.469614
"Lodge Creek Circle, Charlottesville, VA, USA",38.016023,-78.503965
"Hillsdale Drive, Charlottesville, VA, USA",38.060368,-78.489342
"Mason Street, Charlottesville, VA, USA",38.019373,-78.465835
"Thomas Drive, Charlottesville, VA, USA",38.026234,-78.506465
"Charlottesville, VA, USA",38.036141,-78.482369
"Landonia Circle, Charlottesville, VA, USA",38.036685,-78.461083
"17th Street Northwest, Charlottesville, VA, USA",38.040208,-78.500007
"Mountain View Street, Charlottesville, VA, USA",38.013979,-78.473013
"13th Street Northwest, Charlottesville, VA, USA",38.03683,-78.496826
"Charlottesville, VA, USA",38.036141,-78.482369
"Park Lane East, Charlottesville, VA, USA",38.035679,-78.474669
"Charlottesville, VA, USA",38.036141,-78.482369
"Bruce Avenue, Charlottesville, VA, USA",38.050489,-78.487217
"Charlottesville, VA, USA",38.036141,-78.482369
"Latrobe Court, Charlottesville, VA, USA",38.037733,-78.495049
"4th Street Southwest, Charlottesville, VA, USA",38.029099,-78.487485
"Parkway Street, Charlottesville, VA, USA",38.035214,-78.478301
"Oak Street, Charlottesville, VA, USA",38.026029,-78.483841
"Paoli Street, Charlottesville, VA, USA",38.035566,-78.492113
"Wine Street, Charlottesville, VA, USA",38.035421,-78.477001
"Charlottesville, VA, USA",38.036141,-78.482369
"Appletree Road, Charlottesville, VA, USA",38.027225,-78.519646
"Pen Park Road, Charlottesville, VA, USA",38.050399,-78.451203
"Charlottesville, VA, USA",38.036141,-78.482369
"Dale Avenue, Charlottesville, VA, USA",38.036388,-78.48618
"Brookwood Drive, Charlottesville, VA, USA",38.017359,-78.494132
"Banbury Street, Charlottesville, VA, USA",38.062944,-78.466358
"Crestmont Avenue, Charlottesville, VA, USA",38.020907,-78.511577
"Goodman Street, Charlottesville, VA, USA",38.026388,-78.475216
"Washington Avenue, Charlottesville, VA, USA",38.027654,-78.513711
"Blenheim Avenue, Charlottesville, VA, USA",38.021505,-78.477459
"Welk Place, Charlottesville, VA, USA",38.015637,-78.503467
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Greenleaf Lane, Charlottesville, VA, USA",38.050036,-78.484781
"Hilltop Road, Charlottesville, VA, USA",38.04943,-78.493899
"Walnut Street, Charlottesville, VA, USA",38.024846,-78.472659
"Belleview Avenue, Charlottesville, VA, USA",38.037942,-78.459973
"Lyman Street, Charlottesville, VA, USA",38.027526,-78.473944
"Waterbury Court, Charlottesville, VA, USA",38.019201,-78.471318
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Charlottesville, VA, USA",38.036141,-78.482369
"Laurel Circle, Charlottesville, VA, USA",38.024134,-78.50158
"Willow Drive, Charlottesville, VA, USA",38.034267,-78.461992
"Antoinette Court, Charlottesville, VA, USA",38.020595,-78.500027
